knapPI_1_200_100000_1
n 200
c 99998
z 1010347
time 0.00
1,15094,485,1
2,24506,56326,0
3,94416,79248,0
4,40992,45421,0
5,66649,80322,0
6,49237,15795,0
7,96457,58043,0
8,67815,42845,0
9,19446,24955,0
10,63422,49252,0
11,88791,61009,0
12,49359,25901,0
13,45667,81122,0
14,31598,81094,0
15,82007,38738,0
16,20544,88574,0
17,85334,65715,0
18,82766,78882,0
19,93994,31367,0
20,59893,59984,0
21,62633,73299,0
22,87131,49433,0
23,5428,15682,0
24,76700,90072,0
25,30617,97874,0
26,15874,138,1
27,77720,53856,0
28,74419,87145,0
29,69794,37995,0
30,28196,91529,0
31,95997,36199,0
32,83116,83277,0
33,15908,80097,0
34,55539,59719,0
35,45707,35242,0
36,38569,36107,0
37,25537,41122,0
38,90931,41070,0
39,55726,76098,0
40,75487,53600,0
41,59772,36645,0
42,67513,7267,1
43,52081,41972,0
44,29943,9895,0
45,88058,83213,0
46,84303,99748,0
47,13764,89487,0
48,6536,71923,0
49,90724,17029,0
50,63789,25674,0
51,27479,98540,0
52,62142,45554,0
53,38339,22467,0
54,68641,47046,0
55,43196,89710,0
56,81494,40553,0
57,84066,33191,0
58,30824,18724,0
59,99208,5730,1
60,59711,36988,0
61,78800,72090,0
62,43314,19340,0
63,66289,27549,0
64,69401,4196,1
65,41466,70865,0
66,2689,79678,0
67,66833,65570,0
68,75225,14936,0
69,36244,3722,1
70,43849,73651,0
71,18113,76123,0
72,33379,71431,0
73,77361,78508,0
74,62065,7585,1
75,67486,41853,0
76,12686,59642,0
77,57286,97992,0
78,71889,36725,0
79,98024,61286,0
80,79491,61812,0
81,6891,28859,0
82,75090,60663,0
83,85181,81088,0
84,21214,24179,0
85,61017,54187,0
86,43472,96619,0
87,4418,47261,0
88,5419,16846,0
89,17356,29192,0
90,86682,57261,0
91,29306,15514,0
92,12201,12886,0
93,88385,3530,1
94,91952,64849,0
95,11500,83294,0
96,21194,31799,0
97,59737,62391,0
98,44324,64330,0
99,12992,2298,1
100,42224,32790,0
101,98260,45275,0
102,71097,89826,0
103,54210,32072,0
104,21649,2866,1
105,36919,67951,0
106,13063,98748,0
107,32958,56685,0
108,54804,9956,1
109,40518,48564,0
110,65428,24183,0
111,5537,29400,0
112,35346,6721,0
113,14153,81207,0
114,78971,21323,0
115,17662,60611,0
116,14197,92116,0
117,18091,8109,0
118,11529,86795,0
119,5126,99343,0
120,38747,97862,0
121,88469,81685,0
122,43770,7010,0
123,41934,31881,0
124,723,76984,0
125,91895,89403,0
126,17568,78360,0
127,16172,5449,0
128,56958,33541,0
129,84383,96272,0
130,33308,92877,0
131,34970,53359,0
132,93583,52707,0
133,66048,44308,0
134,20930,67770,0
135,7569,33030,0
136,25003,86208,0
137,67020,15311,0
138,11609,2100,1
139,95887,63939,0
140,46825,8422,0
141,79930,92785,0
142,14904,15370,0
143,241,73989,0
144,7379,74969,0
145,89376,9143,1
146,37962,99972,0
147,96889,67028,0
148,17443,23061,0
149,88216,89638,0
150,95338,61348,0
151,49160,89347,0
152,46406,58066,0
153,48159,61391,0
154,93031,5638,1
155,55204,25295,0
156,87420,93826,0
157,99153,81196,0
158,43425,32449,0
159,5331,89855,0
160,40565,52143,0
161,77838,95487,0
162,8009,39140,0
163,13918,50564,0
164,80533,43615,0
165,90232,98135,0
166,93957,73564,0
167,56591,6360,1
168,30576,67793,0
169,33746,9163,0
170,46377,54859,0
171,23858,93760,0
172,43086,59711,0
173,62434,45662,0
174,10558,50159,0
175,84279,95660,0
176,92840,14268,1
177,62735,45948,0
178,28574,17315,0
179,70126,34676,0
180,63912,8341,1
181,48739,13689,0
182,40821,47894,0
183,23625,11706,0
184,35917,57490,0
185,96201,27478,0
186,12993,55671,0
187,1149,1932,0
188,10052,2899,0
189,59759,6237,1
190,49267,30187,0
191,92256,33472,0
192,8783,58772,0
193,78117,52098,0
194,41516,85906,0
195,87180,33911,0
196,77025,50635,0
197,40380,60225,0
198,95712,50823,0
199,98266,99164,0
200,33216,18343,0
-----
