knapPI_11_50_1000_2
n 50
c 900
z 3990
time 0.00
1,1900,410,1
2,1312,720,0
3,190,41,0
4,1312,720,0
5,820,450,0
6,1520,328,0
7,820,450,0
8,984,540,0
9,190,41,0
10,164,90,0
11,380,82,0
12,1312,720,0
13,1640,900,0
14,984,540,0
15,760,164,0
16,380,82,1
17,1312,720,0
18,1640,900,0
19,164,90,0
20,1640,900,0
21,380,82,0
22,656,360,0
23,820,450,0
24,570,123,0
25,1710,369,0
26,164,90,0
27,328,180,0
28,760,164,0
29,570,123,0
30,1520,328,0
31,190,41,0
32,1312,720,0
33,820,450,0
34,1710,369,1
35,1710,369,0
36,1312,720,0
37,190,41,0
38,328,180,0
39,1330,287,0
40,1148,630,0
41,1140,246,0
42,1900,410,0
43,570,123,0
44,820,450,0
45,492,270,0
46,380,82,0
47,820,450,0
48,492,270,0
49,1330,287,0
50,820,450,0
-----
